类型,文件,点数,方差,>sigma,占比,面积,周长
Dong,x_13_boundary_0,94,0.5444172363055036,37,0.39361702127659576,7096.119388129169,467.7429046620443
Dong,x_13_boundary_1,96,0.6556472774336085,37,0.3854166666666667,5210.958473248931,450.68021940049033
Dong,x_14_boundary_0,222,0.6089976175743189,93,0.4189189189189189,18201.871032508803,873.2389960161919
Dong,x_14_boundary_1,263,0.502991368050817,92,0.34980988593155893,15957.549140611532,970.1195038529904
Dong,x_3_boundary_0,130,0.41596815659979175,58,0.4461538461538462,11957.687172588034,561.8245048387976
Dong,x_3_boundary_1,82,0.430957862713403,29,0.35365853658536583,7446.101665034599,465.8484416633949
Dong,x_3_boundary_2,16,0.6853115951547364,9,0.5625,1426.6476928254124,126.81065433232516
Dong,x_9_boundary_0,69,1.3202330835478229,30,0.43478260869565216,1333.4114198184034,348.0370895861118
Dong,x_9_boundary_1,43,0.20948668969500736,17,0.3953488372093023,144.11834979805099,206.46578640248345
Xiu,x_2_boundary_0,98,0.21042628483499637,31,0.3163265306122449,4616.077298106218,251.18450681766888
Dong,y_0_boundary_0,129,0.3502860550527631,27,0.20930232558139536,17456.39015130133,692.222311818038
Dong,y_0_boundary_1,131,0.35007645485903005,52,0.3969465648854962,19518.54539386441,642.2812631657391
Dong,y_1_boundary_0,93,0.7054208273023708,35,0.3763440860215054,6982.713034116143,443.55686682908754
Dong,y_1_boundary_1,77,1.3908141168723906,29,0.37662337662337664,3961.3796219503274,373.53195770315676
Dong,y_12_boundary_0,185,0.8702603642537248,63,0.34054054054054056,20055.92347956072,880.8038145925965
Dong,y_12_boundary_1,133,0.6753057394259744,41,0.3082706766917293,14948.6929236127,798.6662948917174
Dong,y_12_boundary_2,76,0.23002210335090664,26,0.34210526315789475,6741.706216347211,343.2264612763212
Dong,y_2_boundary_0,46,0.30322072746413936,13,0.2826086956521739,3051.0009716142595,288.70329668597054
Dong,y_2_boundary_1,33,0.4442691589618728,12,0.36363636363636365,1553.1427119951513,165.9819142681403
Dong,y_6_boundary_0,104,1.249957313066127,35,0.33653846153846156,3382.188070167893,394.55904842472864
Dong,y_6_boundary_1,83,0.2922528389801624,26,0.3132530120481928,2703.6096361836785,297.3859391882037
Huan,y_7_boundary_0,50,0.1307641284856949,20,0.4,3334.5940307978726,250.77503564193273
Huan,y_7_boundary_1,68,0.23496425275907526,24,0.35294117647058826,5967.8861788097,330.2355806121648
Dong,y_9_boundary_0,67,0.26255862883056996,25,0.373134328358209,5431.966342464708,291.16356379120543
Dong,y_9_boundary_1,34,0.11097932168741836,9,0.2647058823529412,619.8338293782208,140.2776130252179
Dong,y_9_boundary_2,55,0.12340347530316449,19,0.34545454545454546,5009.945116323492,257.6850687166493
Dong,y_9_boundary_3,106,0.4159511217198441,34,0.32075471698113206,9022.263989777386,506.52306647234377
Xiu,y_18_boundary_0,77,0.1937504259555924,30,0.38961038961038963,2471.7694172249176,165.48940207213312
Xiu,y_20_boundary_0,66,0.22071894194233868,27,0.4090909090909091,2415.577160168399,349.7036234304322
Dong,z_0_boundary_0,50,0.36068870303252887,13,0.26,2398.217865388062,256.7955460442582
Dong,z_0_boundary_1,40,0.5544736907685837,15,0.375,463.56216580808905,189.98640001598417
Dong,z_1_boundary_0,43,0.24801278315451847,17,0.3953488372093023,3.622470686364977,110.73405756028356
Dong,z_1_boundary_1,42,0.2261003795641829,15,0.35714285714285715,277.62249367684853,98.4212192333425
Dong,z_3_boundary_0,23,0.2360047338551724,8,0.34782608695652173,3074.3940609997217,115.51182470286557
Dong,z_3_boundary_1,37,0.5259049537804714,14,0.3783783783783784,1859.1255573561975,193.55794541822146
Dong,z_9_boundary_0,195,0.4964147243912795,78,0.4,22568.698864132522,782.7857394275542
Dong,z_9_boundary_1,168,0.37519740159910975,78,0.4642857142857143,23820.148376756304,713.0296232490573
Wo,z_2_boundary_0,64,0.22077943249738397,19,0.296875,4946.996034846859,279.30292648038346
